candidate_count,budget,baseline,metric,baseline_minus_cumulative_mean,ci95,ci95_low,ci95_high
16,8,systematic_stochastic,signal_erasure_rate,0.057,0.0068524984008998015,0.0501475015991002,0.06385249840089981
16,8,systematic_stochastic,final_cumulative_allocation_tv_error,0.06811788019843305,0.0012574100296473638,0.06686047016878569,0.06937529022808042
16,8,systematic_stochastic,mean_instantaneous_allocation_tv_error,0.002483124364188651,0.0013215922718690927,0.0011615320923195585,0.003804716636057744
16,16,largest_remainder,signal_erasure_rate,0.053099999999999994,0.0044503419832376675,0.048649658016762326,0.05755034198323766
16,16,largest_remainder,final_cumulative_allocation_tv_error,0.02187433570485443,0.0004233738181190368,0.021450961886735394,0.022297709522973466
16,16,largest_remainder,mean_instantaneous_allocation_tv_error,-0.03454289851080963,0.0005078476756099368,-0.03505074618641957,-0.0340350508351997
16,16,systematic_stochastic,signal_erasure_rate,0.005600000000000001,0.002953630199492712,0.002646369800507289,0.008553630199492714
16,16,systematic_stochastic,final_cumulative_allocation_tv_error,0.03564209442382768,0.0006331221375859395,0.03500897228624174,0.03627521656141362
16,16,systematic_stochastic,mean_instantaneous_allocation_tv_error,0.0002065306677487534,0.0007096560864284397,-0.0005031254186796863,0.0009161867541771932
16,32,largest_remainder,signal_erasure_rate,0.0023000000000000004,0.0010824720235099296,0.0012175279764900708,0.00338247202350993
16,32,largest_remainder,final_cumulative_allocation_tv_error,0.011421346982050967,0.00021669217810258427,0.011204654803948383,0.011638039160153551
16,32,largest_remainder,mean_instantaneous_allocation_tv_error,-0.01818731957973044,0.0002625242027354687,-0.01844984378246591,-0.017924795376994974
16,32,systematic_stochastic,signal_erasure_rate,0.0007000000000000001,0.0008073669905671508,-0.00010736699056715067,0.0015073669905671509
16,32,systematic_stochastic,final_cumulative_allocation_tv_error,0.018059761565959006,0.00033980059519181615,0.01771996097076719,0.018399562161150823
16,32,systematic_stochastic,mean_instantaneous_allocation_tv_error,0.00012741866715216364,0.0003686297579444348,-0.00024121109079227115,0.0004960484250965985
